id,title,all_artists,popularity,release_date,danceability,energy,key,loudness,mode,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature
6kHgOJ7806DXwtZrfEO2qS,Yay Yay,Compton Ro2co,10,2021-03-09,0.791,0.392,2,-9.104,1,0.000123,0.0,0.121,0.132,107.971,153384,4
6uDBSDI9pDM7C4Gm0hc2hI,Castaways,The Backyardigans,65,2005-07-12,0.756,0.211,5,-17.646,1,0.784,8.65e-06,0.11,0.307,81.253,87707,4
755inykyaG4w22GWAsA3MX,Marlboro Nights,Lonely God,74,2018-06-28,0.466,0.823,2,-6.635,1,0.00237,0.000321,0.332,0.782,175.797,68523,4
6uvMKqNlrSvcC4NaKnrwjZ,"Body (Remix) [feat. ArrDee, E1 (3x3), ZT (3x3), Bugzy Malone, Buni, Fivio Foreign & Darkoo]",Darkoo,77,2021-04-22,0.883,0.674,11,-8.043,0,0.21,0.0,0.0678,0.73,141.02,278085,4
748mdHapucXQri7IAO8yFK,Kiss Me More (feat. SZA),SZA,89,2021-04-09,0.762,0.701,8,-3.541,1,0.235,0.000158,0.123,0.742,110.968,208867,4
2L95U6syP0bV3fkYYOzmiW,La Mamá de la Mamá,El Cherry Scom,76,2021-04-08,0.922,0.927,11,-3.025,1,0.283,0.00331,0.719,0.796,129.978,219000,4
3nY8AqaMNNHHLYV4380ol0,Dick (feat. Doja Cat),Doja Cat,78,2021-04-23,0.647,0.608,9,-6.831,1,0.13,0.0,0.0584,0.474,125.994,175238,4
5yorXJWdBan1Vlh116ZtQ7,WHOLE LOTTA MONEY,BIA,71,2020-12-11,0.897,0.371,1,-5.019,1,0.0904,0.0,0.325,0.441,81.008,156005,4
1AXJqw8lCf3chqvgq4U8mA,FUCKBOY,Dixie,63,2021-05-14,0.759,0.475,8,-7.226,1,0.205,0.0,0.085,0.505,89.471,190347,4
3xxmjMvJsSR3L7mUOxP9QA,Never Forget You,Noisettes,71,2009-01-01,0.569,0.692,9,-4.683,1,0.0167,3.78e-05,0.126,0.737,141.632,192213,4
3A0ITFj6kbb9CggwtPe55f,Venom,Little Simz,71,2019-03-01,0.436,0.655,7,-8.153,1,0.425,0.0,0.393,0.523,139.712,154749,4
3Ofmpyhv5UAQ70mENzB277,Astronaut In The Ocean,Masked Wolf,84,2021-01-06,0.778,0.695,4,-6.865,0,0.175,0.0,0.15,0.472,149.996,132780,4
106R0orU4XC4tFbugFfRzT,Seventeen,Ladytron,66,2002,0.642,0.794,8,-7.908,1,6.98e-05,0.348,0.146,0.785,119.549,277867,4
61KpQadow081I2AsbeLcsb,deja vu,Olivia Rodrigo,40,2021-04-01,0.439,0.61,9,-7.236,1,0.593,1.07e-05,0.341,0.172,181.088,215508,4
3BZEcbdtXQSo7OrvKRJ6mb,MONTERO (Call Me By Your Name),Lil Nas X,21,2021-03-26,0.61,0.508,8,-6.682,0,0.297,0.0,0.384,0.758,178.818,137876,4
4VNZchycAjVwCqZfSWVEID,Send Me on My Way,Vibe Street,43,2020-07-17,0.813,0.706,0,-9.482,1,0.0696,0.227,0.117,0.557,115.001,258783,4
4wFjTWCunQFKtukqrNijEt,MotorSport,Cardi B,73,2018-01-26,0.904,0.518,2,-5.32,1,0.0305,0.0,0.325,0.188,137.996,303077,4
6G7GA38doygTg3KK9HrgTT,Bongo Cha Cha Cha,Caterina Valente,43,2013-12-18,0.774,0.343,5,-14.805,0,0.834,0.0,0.0671,0.689,126.247,170643,4
5LE8xsgXORBCV70UKd7ywp,Impatient (feat. Coi Leray),Coi Leray,62,2021-06-15,0.928,0.322,0,-10.334,0,0.221,4.37e-06,0.115,0.468,109.999,245621,4
2cX2coZS1PYBfPs8wgbdWE,"More Than A Woman - From ""Saturday Night Fever"" Soundtrack",Bee Gees,79,2020-12-11,0.601,0.703,7,-6.24,1,0.175,8.4e-05,0.571,0.673,106.164,196213,4
4iJyoBOLtHqaGxP12qzhQI,Peaches (feat. Daniel Caesar & Giveon),Giveon,90,2021-03-19,0.677,0.696,0,-6.181,1,0.321,0.0,0.42,0.464,90.03,198082,4
52FpkyImUt9LDI9mCWDryr,Whatta Man (feat. En Vogue) - EP Version,En Vogue,51,2001-08-21,0.73,0.664,5,-8.558,1,0.0941,6.23e-05,0.137,0.947,173.232,296213,4
2BKyXCkxhZRGwREqZacJ9M,She Make It Clap,Soulja Boy,5,2021-03-12,0.938,0.463,1,-13.124,1,0.035,0.00652,0.1,0.46,119.878,111621,4
3bMNprrp2JDKZsGbiXpsJl,My Chick Bad,Nicki Minaj,68,2010-01-01,0.624,0.723,1,-6.782,1,0.172,0.0,0.483,0.757,84.789,216933,4
6jg5SRvdGxvJ0DzNV0UqEK,Please Don't Go,Mike Posner,72,2010-08-09,0.699,0.882,4,-3.896,0,0.00296,0.0544,0.13,0.657,120.016,196813,4
4w1lzcaoZ1IC2K5TwjalRP,A Thousand Miles,Vanessa Carlton,76,2002-04-30,0.56,0.825,11,-3.862,1,0.323,0.0,0.161,0.268,94.931,237493,4
3qGHAKgjQruzj6doKkyEb5,Unlock it (Lock It) - feat. Kim Petras and Jay Park,Jay Park,69,2017-12-15,0.504,0.711,9,-5.864,1,0.0585,1.83e-05,0.382,0.5,134.824,232933,4
1VpKOZ6nnap41hh5CbY8gJ,Obsessed,Addison Rae,68,2021-03-18,0.884,0.665,11,-7.929,1,0.38,9.36e-06,0.111,0.472,110.016,134087,4
5FEXPoPnzueFJQCPRIrC3c,Day 'N' Nite (nightmare),Kid Cudi,71,2009-09-15,0.871,0.44,11,-6.25,0,0.499,4.15e-06,0.114,0.799,137.996,221267,4
3FxPbp05KjMBa4HbhAJTH0,SugarCrash!,ElyOtto,7,2020-08-25,0.745,0.74,0,-6.558,1,0.53,7.37e-05,0.0936,0.36,97.735,80118,4
2mykLbf6YfpFmZwUWowZv3,Caution,KAYTRANADA,53,2021-02-18,0.696,0.394,11,-13.825,0,0.0579,0.821,0.0899,0.747,216.053,155758,4
5hChuUMe5iHfjkXgzj1D4b,Track Star,Mooski,69,2021-02-09,0.641,0.598,7,-5.7,0,0.381,0.0,0.0921,0.285,131.459,199706,5
3hv6ndi7uFT9L9wrhQCsqY,Gucci Flip Flops (feat. Lil Yachty),Lil Yachty,66,2018-09-18,0.82,0.603,8,-7.18,1,0.0351,0.0159,0.122,0.177,159.976,151851,4
5XMhppJhtgjkd2SYDklhR9,For Me,KenTheMan,57,2020-10-23,0.904,0.498,2,-7.86,1,0.00919,0.0,0.0791,0.145,132.992,202411,4
0osvOdeD3YXZiWkT8MKolJ,Lifestyle (feat. Adam Levine),Maroon 5,76,2021-01-21,0.749,0.674,10,-5.128,0,0.0209,0.0,0.169,0.711,123.055,153865,4
1xMvdOFQaql3EBkHmuh2TK,Batman,LPB Poody,68,2021-02-12,0.893,0.565,1,-4.74,1,0.0754,0.0,0.0375,0.808,81.009,156432,4
1XXimziG1uhM0eDNCZCrUl,Up,Cardi B,78,2021-02-05,0.868,0.795,11,-6.044,1,0.0012,0.0193,0.0461,0.819,166.0,156945,4
6tDDoYIxWvMLTdKpjFkc1B,telepatía,Kali Uchis,85,2020-12-04,0.653,0.524,11,-9.016,0,0.112,0.0,0.203,0.553,83.97,160191,4
7vRia9rlEuTDQxkfXIKySi,It's Not The Same Anymore,Rex Orange County,70,2019-10-25,0.666,0.317,5,-10.644,1,0.873,3.74e-05,0.111,0.359,117.676,386200,4
4NOZ35Dhucr6UlVyLOtktd,Dangerous,Akon,76,2008-01-01,0.949,0.79,8,-5.957,1,0.00437,0.0,0.0816,0.807,117.002,246053,4
1uH1Nd8vet2uoZSDFSDwbh,Up Down (Do This All Day) (feat. B.o.B),B.o.B,5,2013-08-13,0.763,0.53,5,-5.554,0,0.272,0.0,0.16,0.469,97.033,231893,4
5Kskr9LcNYa0tpt5f0ZEJx,Calling My Phone,6LACK,16,2021-02-12,0.907,0.393,4,-7.636,0,0.451,1.35e-06,0.135,0.202,104.949,205458,4
65kp3OFn7JXbCvkm3m2Ui2,Two®,Lil Uzi Vert,63,2017-08-25,0.266,0.642,7,-5.133,1,0.424,0.0,0.0943,0.0371,75.022,185276,4
6u3CPnFMKANYgfdiifFOiJ,"Gravity (feat. Tyler, The Creator)","Tyler, The Creator",76,2021-01-29,0.539,0.615,1,-8.746,0,0.173,0.0056,0.144,0.493,163.924,214693,4
